index,dt_ms
0,30.641772
1,31.607620
2,30.607560
3,31.440199
4,30.380459
5,31.472524
6,31.681615
7,30.218893
8,31.224888
9,30.493348
10,31.672967
11,30.425661
12,31.689801
13,30.561535
14,30.415612
15,31.661978
16,30.436226
17,31.354779
18,30.364436
19,31.707295
20,31.135808
21,30.378506
22,31.218958
23,30.953601
24,30.919745
25,31.081835
26,31.388490
27,31.875651
28,29.457053
29,31.375542
30,30.426462
31,32.110192
32,30.734008
33,29.971194
34,22.536778
35,22.780488
36,22.863409
37,26.075196
38,31.464063
39,30.669344
40,31.628418
41,30.513668
42,30.637941
43,31.633968
44,30.505810
45,31.654543
46,30.470149
47,31.663464
48,30.460267
49,30.304859
50,31.373492
51,31.600685
52,30.546665
53,31.480532
54,30.394280
55,30.554463
56,31.532886
57,31.666523
58,30.673308
59,30.648229
60,30.224589
61,31.548746
62,30.809394
63,31.183210
64,31.027725
65,30.921092
66,30.833357
67,31.034059
68,31.023953
69,31.407740
70,31.195554
71,30.297630
72,31.221338
73,31.303376
74,30.260409
75,31.324741
76,30.685803
77,31.660553
78,30.560566
79,31.440210
80,30.690340
81,31.210005
82,30.842961
83,30.818875
84,30.893443
85,31.541865
86,30.358026
87,31.707470
88,30.450136
89,31.662211
90,30.483819
91,30.419404
92,31.431463
93,31.376461
94,30.242023
95,32.017768
96,30.705875
97,30.814985
98,30.660420
99,31.485061
100,31.434433
101,30.420372
102,31.462737
103,31.358661
104,30.808328
105,30.554091
106,31.922992
107,30.614058
108,30.625562
109,31.534256
110,30.533604
111,31.663211
112,30.018692
113,30.796976
114,30.878496
115,30.951593
116,31.922789
117,31.067166
118,30.833541
119,31.154523
120,31.013246
121,30.890529
122,30.819739
123,31.085561
124,31.141661
125,31.055946
126,30.868425
127,30.995815
128,30.178947
129,31.192869
130,31.113410
131,30.929257
132,31.095188
133,30.827642
134,31.063295
135,31.731288
136,31.025460
137,30.773024
138,30.895764
139,31.214661
140,30.682410
141,30.800592
142,31.770452
143,30.396743
144,31.464044
145,30.590056
146,30.594245
147,31.627363
148,30.407930
149,31.496745
150,30.359335
151,31.549240
152,30.688395
153,31.572174
154,30.636513
155,30.385263
156,31.581623
157,30.683752
158,31.296058
159,30.841623
160,30.963895
161,30.980777
162,31.053589
163,31.241521
164,31.008001
165,31.210573
166,31.016778
167,30.064532
168,31.680676
169,30.489021
170,31.700249
171,30.535668
172,31.066031
173,31.186155
174,32.105139
175,29.916735
176,31.716903
177,30.605590
178,31.689552
179,30.719735
180,30.606107
181,31.574029
182,30.451647
183,31.648285
184,29.979948
185,31.631338
186,30.544916
187,31.892983
188,30.494046
189,31.138342
190,30.350322
191,31.470049
192,30.715405
193,31.578227
194,30.308516
195,31.406466
196,30.302179
197,31.331583
198,31.579634
199,30.449506
200,31.458940
201,30.388218
202,31.705693
203,30.235343
204,31.545006
205,30.632292
206,30.693556
207,31.602159
208,30.492365
209,31.380932
210,30.432730
211,31.710182
212,30.452900
213,31.221947
214,31.668578
215,30.583939
216,30.693672
217,31.116218
218,30.993007
219,31.431463
220,31.015051
221,30.307412
222,31.060900
223,30.909252
224,31.105987
225,31.022515
226,30.168646
227,22.770942
228,22.984617
229,22.969407
230,25.012866
231,30.370831
232,31.422933
233,31.390119
234,30.520616
235,31.667749
236,30.692447
237,30.231757
238,22.423214
239,22.366249
240,22.559154
241,25.593163
242,22.428541
243,22.382213
244,22.509254
245,25.630926
246,22.532903
247,22.385080
248,22.501335
249,25.770477
250,32.453739
251,29.896206
252,32.060298
253,30.040634
254,30.969385
255,31.962329
256,30.861715
257,31.128724
258,30.960919
259,30.972414
260,31.003748
261,31.399797
262,30.630032
263,30.626167
264,31.904238
265,30.042337
266,31.826946
267,30.613500
268,30.666577
269,31.606095
270,30.598021
271,30.485467
272,31.638573
273,31.064591
274,30.962999
275,30.243758
276,31.216078
277,31.298058
278,31.379189
279,30.532158
280,31.372360
281,30.452924
282,31.761795
283,30.587834
284,30.486381
285,31.662637
286,30.571727
287,31.503120
288,30.660146
289,30.446740
290,31.594899
291,30.588421
292,31.502127
293,31.105022
294,30.350439
295,31.506622
296,30.431309
297,30.982347
298,31.764453
299,30.417387
300,31.548283
301,31.061367
302,30.638420
303,30.430441
304,31.661237
305,30.664553
306,31.463580
307,30.421146
308,31.435932
309,30.485418
310,31.388090
311,30.224622
312,31.606755
313,30.878238
314,30.926905
315,30.957215
316,30.830137
317,30.945410
318,31.051548
319,30.926345
320,30.985908
321,31.032640
322,32.001325
323,29.934561
324,30.994783
325,31.074607
326,31.979055
327,29.946743
328,32.013939
329,31.011478
330,31.086291
331,30.968626
332,30.936539
333,30.980227
334,30.898594
335,31.393695
336,30.281276
337,31.661423
338,30.473491
339,31.481023
340,30.353337
341,31.547898
342,30.351746
343,31.783958
344,30.785550
345,30.907868
346,30.731369
347,31.511577
348,30.366803
349,31.329777
350,31.718192
351,30.867380
352,30.212161
353,31.323898
354,30.679710
355,30.865324
356,31.859843
357,30.660815
358,30.689948
359,31.413113
360,31.094294
361,31.267664
362,30.447216
363,30.448254
364,31.417443
365,30.552135
366,31.355428
367,31.370876
368,30.417196
369,31.505173
370,30.513098
371,31.506364
372,30.197221
373,31.334132
374,31.360914
375,30.300098
376,31.403016
377,31.356906
378,30.269764
379,31.450903
380,30.444266
381,31.364665
382,31.463125
383,31.055793
384,31.193014
385,30.139701
386,31.428061
387,30.311229
388,31.412663
389,30.338704
390,31.174637
391,31.545013
392,30.724131
393,30.834802
394,31.672317
395,31.166656
396,32.145000
397,29.819232
398,31.109993
399,30.896680
400,31.773319
401,30.524503
402,30.595079
403,31.436822
404,31.368927
405,30.245340
406,31.285044
407,31.035336
408,30.874978
409,31.018948
410,31.001457
411,31.208315
412,30.061116
413,31.009460
414,30.921970
415,32.046961
416,30.481097
417,31.451100
418,30.436837
419,31.517628
420,30.782431
421,31.040739
422,31.002438
423,30.957455
424,30.987196
425,31.044948
426,31.308254
427,30.670128
428,30.330548
429,31.366075
430,31.445288
431,30.230901
432,31.249790
433,31.338851
434,30.336568
435,31.258299
436,31.273735
437,31.453548
438,30.324646
439,31.487773
440,30.706344
441,31.346106
442,30.471307
443,31.649965
444,30.539420
445,31.343413
446,30.158806
447,31.271626
448,31.623266
449,30.442888
450,31.356877
451,30.291342
452,31.400910
453,31.390200
454,30.373814
455,31.037107
456,30.895774
457,30.863819
458,31.559218
459,30.572591
460,30.819001
461,31.890741
462,30.417491
463,30.712125
464,31.725265
465,30.279673
466,31.399783
467,30.299255
468,31.462547
469,31.483445
470,31.418672
471,30.355785
472,31.754068
473,30.713861
474,31.429407
475,30.410179
476,31.554722
477,30.397689
478,31.284755
479,31.453972
480,30.582996
481,30.682569
482,31.741925
483,30.543690
484,31.487400
485,30.319603
486,32.142203
487,29.739530
488,31.450026
489,31.123142
490,30.748682
491,30.767537
492,30.613918
493,30.728177
494,31.862923
495,31.093223
496,30.318214
497,31.401160
498,31.546825
499,31.172156
